booking_id,hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,arrival_date,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests
HB-005496,Resort Hotel,1,18,2024,April,18,30,2024-04-30,1,1,2,2.0,0,HB,ESP,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.0,,0,Transient,178.0,0,1
HB-023732,Resort Hotel,0,3,2024,April,18,29,2024-04-29,1,2,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,C,0,No Deposit,,,0,Transient-Party,91.67,1,0
HB-098293,City Hotel,0,3,2024,September,39,26,2024-09-26,1,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,E,E,0,No Deposit,,317.0,0,Transient,166.25,0,0
HB-028509,Resort Hotel,0,87,2024,September,39,29,2024-09-29,2,5,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,241.0,,0,Transient,109.03,0,1
HB-015852,Resort Hotel,0,0,2023,August,31,4,2023-08-04,0,1,1,0.0,0,BB,GBR,Direct,Direct,0,0,0,F,F,0,No Deposit,,,0,Transient,179.0,0,0
HB-092299,City Hotel,0,136,2024,June,26,30,2024-06-30,1,3,2,0.0,0,HB,CZE,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9.0,,0,Transient-Party,123.25,0,0
HB-112101,City Hotel,0,90,2025,May,20,17,2025-05-17,0,3,3,0.0,0,BB,CHE,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,180.0,0,0
HB-103292,City Hotel,0,13,2024,December,50,14,2024-12-14,0,4,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,88.4,0,1
HB-012015,Resort Hotel,1,20,2025,June,23,8,2025-06-08,2,4,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,140.0,0,1
HB-081291,City Hotel,0,17,2023,December,49,4,2023-12-04,2,2,1,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,1,No Deposit,,,0,Transient,92.5,0,2
HB-021866,Resort Hotel,0,13,2024,March,10,6,2024-03-06,2,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,241.0,,0,Transient,49.74,0,1
HB-040504,City Hotel,1,27,2023,July,30,27,2023-07-27,1,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient-Party,62.0,0,0
HB-048662,City Hotel,1,92,2024,March,13,26,2024-03-26,2,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,170.0,,0,Transient,100.0,0,0
HB-013135,Resort Hotel,1,176,2025,August,31,1,2025-08-01,2,5,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,26.0,,0,Transient,134.86,0,0
HB-027154,Resort Hotel,0,136,2024,August,33,15,2024-08-15,1,5,2,2.0,0,BB,PRT,Online TA,TA/TO,0,0,0,H,H,2,No Deposit,240.0,,0,Transient,286.6,0,0
HB-020369,Resort Hotel,0,0,2024,January,4,25,2024-01-25,1,1,1,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,1,No Deposit,,,0,Transient,39.0,0,0
HB-051596,City Hotel,1,172,2024,May,21,22,2024-05-22,2,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,7.0,,0,Transient,115.2,0,0
HB-076965,City Hotel,1,342,2023,September,38,24,2023-09-24,2,4,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,0,Transient,170.0,0,0
HB-004986,Resort Hotel,1,212,2024,April,15,11,2024-04-11,2,5,2,0.0,0,HB,PRT,Groups,Direct,0,0,0,D,D,0,Non Refund,273.0,,0,Transient,76.05,0,0
HB-034398,Resort Hotel,0,96,2025,March,11,12,2025-03-12,4,7,2,0.0,0,HB,GBR,Groups,TA/TO,0,0,0,A,A,0,No Deposit,,,0,Transient-Party,52.55,0,0
HB-101715,City Hotel,0,10,2024,November,46,15,2024-11-15,0,2,1,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,103.0,0,2
HB-010657,Resort Hotel,1,102,2025,March,13,26,2025-03-26,2,1,1,0.0,0,BB,PRT,Groups,Corporate,0,0,0,A,A,0,Non Refund,495.0,,0,Transient,39.33,0,0
HB-034359,Resort Hotel,0,15,2025,March,12,20,2025-03-20,1,1,2,0.0,0,BB,HUN,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient-Party,82.0,1,1
HB-074848,City Hotel,1,335,2023,September,37,17,2023-09-17,0,1,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,5.0,,0,Transient,55.0,0,0
HB-035267,Resort Hotel,0,0,2025,April,16,16,2025-04-16,1,0,2,2.0,0,BB,PRT,Direct,Direct,0,0,0,C,C,0,No Deposit,,,0,Transient,131.0,0,0
HB-110662,City Hotel,0,101,2025,April,17,27,2025-04-27,0,3,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,28.0,,0,Transient,85.0,0,0
HB-114310,City Hotel,0,172,2025,June,25,18,2025-06-18,2,0,2,2.0,0,BB,USA,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,7.0,,0,Transient,219.46,0,1
HB-064267,City Hotel,1,243,2025,March,10,3,2025-03-03,1,2,2,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,79.2,0,0
HB-002921,Resort Hotel,0,0,2023,November,45,7,2023-11-07,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,52.4,1,1
HB-089113,City Hotel,0,0,2024,May,20,17,2024-05-17,0,0,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,1,0,0,A,A,0,No Deposit,6.0,,0,Transient,0.0,0,0
HB-064993,City Hotel,1,56,2025,March,12,21,2025-03-21,0,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,86.0,,0,Transient,85.0,0,0
HB-043723,City Hotel,0,34,2023,September,38,23,2023-09-23,0,3,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,52.0,,33,Transient-Party,224.67,0,0
HB-039331,Resort Hotel,0,197,2025,August,32,5,2025-08-05,4,6,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,168.0,0,0
HB-084712,City Hotel,0,8,2024,March,9,2,2024-03-02,0,1,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient-Party,86.0,0,0
HB-043419,City Hotel,0,74,2023,September,38,18,2023-09-18,0,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,,0,Transient-Party,109.0,0,0
HB-000760,Resort Hotel,0,76,2023,July,30,27,2023-07-27,2,5,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241.0,,0,Transient,102.72,0,1
HB-002635,Resort Hotel,1,148,2023,October,43,24,2023-10-24,0,1,1,0.0,0,BB,PRT,Groups,Direct,0,0,0,A,A,0,Non Refund,,,0,Transient,39.0,0,0
HB-097015,City Hotel,0,47,2024,September,37,9,2024-09-09,0,2,2,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,125.1,0,1
HB-011921,Resort Hotel,1,320,2025,June,23,3,2025-06-03,2,5,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,74.25,0,2
HB-101005,City Hotel,0,43,2024,November,44,1,2024-11-01,0,4,1,0.0,0,HB,ROU,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9.0,,0,Transient,124.1,0,3
HB-116855,City Hotel,0,145,2025,July,30,24,2025-07-24,1,1,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,130.5,0,1
HB-067224,City Hotel,1,78,2025,April,18,29,2025-04-29,2,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,6.0,,0,Transient,90.0,0,0
HB-064204,City Hotel,1,28,2025,March,9,2,2025-03-02,0,3,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,,,0,Transient,95.0,0,0
HB-013729,Resort Hotel,1,56,2025,August,35,28,2025-08-28,1,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,5.0,,0,Transient,152.0,0,0
HB-085034,City Hotel,0,35,2024,March,10,5,2024-03-05,2,1,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,97.4,0,1
HB-025268,Resort Hotel,0,152,2024,June,24,14,2024-06-14,2,5,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,D,E,0,No Deposit,250.0,,0,Transient,100.6,0,1
HB-092592,City Hotel,0,173,2024,July,28,8,2024-07-08,0,1,2,2.0,0,BB,PRT,Online TA,TA/TO,0,0,0,F,F,1,No Deposit,9.0,,0,Transient,177.3,0,2
HB-043614,City Hotel,0,21,2023,September,38,21,2023-09-21,1,1,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Contract,124.0,0,1
HB-013528,Resort Hotel,1,64,2025,August,34,18,2025-08-18,2,3,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,250.0,0,1
HB-063039,City Hotel,1,57,2025,January,5,27,2025-01-27,0,2,2,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,79.2,0,0
HB-058501,City Hotel,1,461,2024,October,41,13,2024-10-13,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,62.0,0,0
HB-090249,City Hotel,0,112,2024,June,22,2,2024-06-02,0,2,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,3.0,,0,Transient-Party,100.0,0,0
HB-080658,City Hotel,0,32,2023,November,47,20,2023-11-20,0,2,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,119.0,,0,Transient-Party,73.0,0,0
HB-011357,Resort Hotel,1,108,2025,May,18,4,2025-05-04,0,3,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,85.0,0,0
HB-051359,City Hotel,1,28,2024,May,20,19,2024-05-19,0,2,2,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,,174.0,0,Transient-Party,100.0,0,0
HB-096385,City Hotel,0,26,2024,August,35,31,2024-08-31,0,2,2,0.0,0,SC,CHE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,110.0,0,1
HB-112579,City Hotel,0,208,2025,May,21,24,2025-05-24,0,2,1,0.0,0,HB,DEU,Groups,TA/TO,0,0,0,A,A,0,No Deposit,6.0,,0,Transient-Party,91.5,0,0
HB-118433,City Hotel,0,92,2025,August,33,17,2025-08-17,0,3,2,0.0,0,BB,AUT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,42.0,,0,Transient,80.1,0,1
HB-039908,Resort Hotel,0,19,2025,August,35,30,2025-08-30,0,2,1,0.0,0,BB,BRA,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,241.0,,0,Transient,153.0,0,1
HB-005861,Resort Hotel,1,9,2024,May,20,15,2024-05-15,1,0,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,315.0,,0,Transient-Party,70.0,0,0
HB-008934,Resort Hotel,1,101,2024,October,42,20,2024-10-20,2,5,3,0.0,0,BB,PRT,Groups,Corporate,0,0,0,A,A,0,No Deposit,,,0,Transient-Party,89.0,0,0
HB-070891,City Hotel,1,129,2025,June,26,24,2025-06-24,2,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,30.0,,0,Transient,130.0,0,0
HB-027991,Resort Hotel,0,220,2024,September,37,10,2024-09-10,2,5,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,241.0,,0,Transient,88.74,0,1
HB-108359,City Hotel,0,104,2025,March,12,19,2025-03-19,2,5,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,20.0,,0,Transient-Party,75.0,0,1
HB-018416,Resort Hotel,0,0,2023,November,46,18,2023-11-18,0,1,1,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,D,0,No Deposit,,,0,Transient,38.0,0,0
HB-091067,City Hotel,0,7,2024,June,24,13,2024-06-13,1,2,1,0.0,0,BB,CHN,Online TA,TA/TO,0,0,0,A,A,3,No Deposit,9.0,,0,Transient,108.33,0,1
HB-010829,Resort Hotel,1,53,2025,April,15,7,2025-04-07,2,5,2,0.0,0,HB,FRA,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,137.71,0,0
HB-015132,Resort Hotel,0,142,2025,August,33,12,2025-08-12,4,6,2,0.0,0,HB,PRT,Direct,Direct,1,1,13,E,E,0,No Deposit,,,0,Transient,184.0,1,4
HB-101214,City Hotel,0,5,2024,November,45,8,2024-11-08,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,224.0,1,3
HB-026092,Resort Hotel,0,0,2024,July,29,20,2024-07-20,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,G,G,0,No Deposit,250.0,,0,Transient,189.0,0,0
HB-088140,City Hotel,0,47,2024,April,17,28,2024-04-28,0,3,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,120.0,0,0
HB-044782,City Hotel,0,34,2023,October,41,11,2023-10-11,2,0,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9.0,,0,Contract,103.05,0,2
HB-042908,City Hotel,1,28,2023,September,37,11,2023-09-11,2,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient-Party,113.79,0,2
HB-083893,City Hotel,0,139,2024,February,6,11,2024-02-11,0,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,28.0,,0,Transient,62.0,0,1
HB-062412,City Hotel,1,24,2025,January,3,13,2025-01-13,0,2,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,79.5,0,1
HB-099477,City Hotel,0,41,2024,October,41,11,2024-10-11,0,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,151.5,0,3
HB-015866,Resort Hotel,0,146,2023,July,30,30,2023-07-30,2,5,2,0.0,0,BB,IRL,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,113.9,0,1
HB-054013,City Hotel,1,78,2024,July,27,5,2024-07-05,1,5,1,0.0,0,BB,UKR,Online TA,TA/TO,0,0,0,D,D,2,No Deposit,9.0,,0,Transient,130.2,0,0
HB-024883,Resort Hotel,0,107,2024,June,22,1,2024-06-01,2,4,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,D,E,3,No Deposit,,,0,Transient-Party,77.75,0,0
HB-008132,Resort Hotel,1,15,2024,September,37,13,2024-09-13,0,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,240.0,,0,Transient,129.0,0,1
HB-095333,City Hotel,0,129,2024,August,33,15,2024-08-15,1,2,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,114.3,0,1
HB-089603,City Hotel,0,95,2024,May,20,19,2024-05-19,1,3,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient-Party,132.6,0,1
HB-016996,Resort Hotel,0,239,2023,September,38,19,2023-09-19,1,1,2,0.0,0,HB,FRA,Offline TA/TO,TA/TO,0,0,0,A,C,0,No Deposit,248.0,,0,Transient-Party,80.0,0,0
HB-048346,City Hotel,1,46,2024,March,12,21,2024-03-21,1,3,3,0.0,0,BB,DNK,Online TA,TA/TO,0,0,0,D,E,0,No Deposit,9.0,,0,Transient,124.1,0,1
HB-066729,City Hotel,1,47,2025,April,17,24,2025-04-24,1,1,3,0.0,0,BB,BRA,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,9.0,,0,Transient,171.0,0,0
HB-080518,City Hotel,0,1,2023,November,46,17,2023-11-17,0,1,1,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Contract,91.0,0,0
HB-039786,Resort Hotel,0,30,2025,August,35,26,2025-08-26,1,1,2,0.0,0,BB,USA,Online TA,TA/TO,0,0,0,A,C,1,No Deposit,241.0,,0,Transient,182.0,1,1
HB-046793,City Hotel,1,12,2024,January,3,19,2024-01-19,0,3,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,2,No Deposit,19.0,,0,Transient-Party,72.0,0,0
HB-113444,City Hotel,0,15,2025,June,23,6,2025-06-06,0,2,2,0.0,0,SC,BRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,28.0,,0,Transient,89.0,0,0
HB-099581,City Hotel,0,53,2024,October,42,14,2024-10-14,0,1,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,77.0,,0,Transient-Party,120.0,0,0
HB-117137,City Hotel,0,80,2025,July,31,29,2025-07-29,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,,0,Transient,108.0,0,1
HB-025078,Resort Hotel,0,125,2024,June,23,7,2024-06-07,2,5,2,0.0,0,BB,IRL,Direct,Direct,0,0,0,D,E,0,No Deposit,250.0,,0,Transient,94.37,0,0
HB-035842,Resort Hotel,0,110,2025,April,18,29,2025-04-29,2,2,2,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,171.0,,0,Transient,81.2,0,0
HB-052881,City Hotel,1,11,2024,June,24,14,2024-06-14,0,3,2,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,D,D,0,Non Refund,,51.0,0,Transient,90.0,0,0
HB-025461,Resort Hotel,0,48,2024,June,26,26,2024-06-26,2,0,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient-Party,120.0,0,0
HB-026404,Resort Hotel,0,8,2024,July,31,29,2024-07-29,0,2,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,214.0,0,1
HB-056402,City Hotel,1,1,2024,September,36,5,2024-09-05,0,0,2,0.0,0,BB,PRT,Complementary,Direct,0,0,0,A,A,0,No Deposit,,45.0,0,Transient,0.0,0,0
HB-054316,City Hotel,1,176,2024,July,28,12,2024-07-12,0,4,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,90.95,0,0
HB-045657,City Hotel,0,140,2023,November,46,18,2023-11-18,0,3,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,1,No Deposit,29.0,,87,Transient-Party,65.0,0,0
HB-035033,Resort Hotel,0,152,2025,April,14,5,2025-04-05,2,5,3,0.0,0,BB,GBR,Groups,TA/TO,0,0,0,A,C,3,No Deposit,,223.0,0,Transient-Party,68.0,0,0
HB-090537,City Hotel,0,247,2024,June,23,6,2024-06-06,1,1,2,0.0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,6.0,,0,Transient-Party,115.0,0,1
HB-044239,City Hotel,0,164,2023,October,40,2,2023-10-02,0,2,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,19.0,,0,Transient-Party,100.0,0,0
HB-067852,City Hotel,1,142,2025,May,19,8,2025-05-08,1,2,2,0.0,0,BB,LUX,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,126.0,0,2
HB-006174,Resort Hotel,1,7,2024,May,22,27,2024-05-27,0,1,1,0.0,0,HB,PRT,Groups,Corporate,0,0,0,A,A,0,Non Refund,,20.0,0,Transient,58.0,0,0
HB-083171,City Hotel,0,2,2024,January,3,19,2024-01-19,0,4,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,80.0,0,1
HB-045735,City Hotel,0,98,2023,November,47,23,2023-11-23,1,2,2,0.0,0,BB,IND,Groups,TA/TO,0,0,0,A,A,1,No Deposit,37.0,,0,Transient-Party,75.0,0,1
HB-092855,City Hotel,0,177,2024,July,28,10,2024-07-10,2,1,3,2.0,0,BB,NOR,Direct,Direct,0,0,0,G,G,0,No Deposit,,,0,Transient,225.9,0,0
HB-046750,City Hotel,1,1,2024,January,3,19,2024-01-19,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,81.0,0,1
HB-045911,City Hotel,0,84,2023,November,48,27,2023-11-27,1,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,0,Transient-Party,64.0,0,0
HB-106006,City Hotel,0,114,2025,February,7,15,2025-02-15,0,4,2,0.0,0,BB,ESP,Groups,TA/TO,0,0,0,A,A,0,No Deposit,,242.0,0,Transient-Party,78.0,0,0
HB-114143,City Hotel,0,0,2025,June,25,17,2025-06-17,0,1,1,0.0,0,BB,PRT,Aviation,Corporate,0,0,0,A,D,0,No Deposit,,153.0,0,Transient,95.0,0,0
HB-072613,City Hotel,1,21,2025,August,31,1,2025-08-01,0,3,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,138.67,0,1
HB-016067,Resort Hotel,0,0,2023,August,32,11,2023-08-11,0,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240.0,,0,Transient,191.0,0,1
HB-074514,City Hotel,1,325,2023,September,36,7,2023-09-07,1,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,0,Contract,62.0,0,0
HB-053555,City Hotel,1,265,2024,June,26,24,2024-06-24,0,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,,0,Transient-Party,109.0,0,0
HB-005992,Resort Hotel,0,3,2024,May,20,19,2024-05-19,0,2,2,0.0,0,BB,PRT,Complementary,TA/TO,0,0,0,F,G,0,No Deposit,69.0,,0,Transient,0.0,0,2
HB-001328,Resort Hotel,1,26,2023,August,34,24,2023-08-24,1,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,191.0,0,2
HB-095910,City Hotel,0,101,2024,August,34,22,2024-08-22,1,3,2,0.0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,27.0,,0,Transient,72.25,0,1
HB-062151,City Hotel,1,32,2025,January,1,2,2025-01-02,1,5,1,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,88.4,0,1
HB-009374,Resort Hotel,1,40,2024,November,47,19,2024-11-19,2,5,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,55.8,0,1
HB-049548,City Hotel,1,31,2024,April,15,14,2024-04-14,1,3,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,109.8,0,0
HB-078210,City Hotel,1,8,2023,October,40,6,2023-10-06,0,1,1,0.0,0,BB,PRT,Complementary,Direct,0,0,0,A,A,0,No Deposit,,45.0,0,Transient,0.0,0,0
HB-109729,City Hotel,0,115,2025,April,16,14,2025-04-14,0,2,2,0.0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,42.0,,0,Transient,89.1,0,1
HB-019146,Resort Hotel,0,1,2023,December,49,8,2023-12-08,0,1,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,241.0,,0,Group,36.96,0,0
